geneID	geneSymbol	Thymus_0	Thymus_1	TALL_01	TALL_03	TALL_04	TALL_06	TALL_08	TALL_09	TALL_12	TALL_14	TALL_15	TALL_16
XLOC_000018	ATAD3A	6.87578	8.07006	12.0453	10.0216	7.17878	7.29056	12.5363	11.8788	17.6473	4.20441	8.58852	16.9546
XLOC_000019	MIB2	4.83956	8.88577	9.71471	11.6708	2.63205	10.1999	6.61702	4.9165	4.96732	4.04746	12.1065	2.41327
XLOC_000020	MMP23B	0	0.166881	0	0	0	0	0	0	0.220179	0	0	0.0747976
XLOC_000021	CALML6	0	0.191721	0	0.428823	0.0844062	0	0	0	0.126543	0	0	0.258097
XLOC_000022	GABRD	0.0953978	0.0407394	0.144645	0	0	0.0549625	0	0	0	0	0.757177	0
XLOC_000023	PRKCZ	6.38739	2.97302	1.03367	1.12001	0.169522	0.0523482	0	0	0.532838	0.319065	0	1.90853
XLOC_000024	SKI	11.9943	4.68595	10.6463	6.74019	4.43267	17.3164	4.64574	10.181	16.4617	9.16967	12.0215	5.30393
XLOC_000025	RER1	20.2431	27.1641	17.1402	16.8072	7.02984	16.3454	12.1685	17.7709	10.58	9.76395	14.0493	15.2656
XLOC_000026	PLCH2	0.77729	2.80632	1.75545	3.12679	0.166497	2.5122	0.73846	3.28847	1.14344	2.95607	1.09153	0.145177
XLOC_000027	TNFRSF14	20.1275	24.3856	19.4916	24.8301	16.8404	23.677	8.58053	20.2722	19.9852	20.3194	17.4508	20.0025
XLOC_000028	FAM213B	6.73779	6.6248	10.2962	12.355	4.24524	5.88348	4.64038	6.81567	8.09564	5.08001	10.0182	11.7249
XLOC_000029	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000030	PRDM16	0	0.0505456	2.95896	1.88909	1.07975	0.167744	1.02843	2.66361	0.0831143	0.114088	0.243865	0.0374972
XLOC_000031	ARHGEF16	0.0406462	0	0.0462388	0	0	0.175206	0.180126	0	0	0.784537	0.0691905	0
XLOC_000032	TPRG1L	15.6832	6.52802	6.84374	3.68862	2.55527	2.97896	2.12767	4.3007	8.62497	4.06785	2.43383	6.17074
XLOC_000033	TP73	1.68464	0.0783291	3.43705	0.0638846	0.261932	0.809989	10.4339	5.93207	0.00857637	4.99837	29.8423	0
XLOC_000034	CCDC27	0	0	0	0	0	0	0.0614489	0	0	0	0	0
XLOC_000035	SMIM1	0.852416	0.202932	0.56949	0.602265	0.229783	0	0.706209	2.68901	0.674199	0.590894	0	24.7265
XLOC_000036	DFFB	1.3487	1.91179	1.78187	2.32952	2.89539	2.20029	2.52913	1.43452	1.31427	0.508993	2.04121	3.9302
XLOC_000037	AJAP1	2.16563	0.18787	7.76693	19.2926	51.8319	50.5351	33.4742	25.4299	13.3719	25.5823	25.8127	13.7874
XLOC_000038	KCNAB2	19.0937	21.5069	18.4512	27.1078	9.84608	59.6914	20.8495	38.0417	45.1266	22.6561	26.7947	22.331
XLOC_000039	RNF207	0.605318	0.0282395	0.0663836	0.410101	0.061368	0	0	0.0524837	0.0825897	0	0	0
XLOC_000040	HES3	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000041	ESPN	0.363168	0.0851557	0.0563437	0	0	0.0568789	0.439521	0.237565	0.0817293	0.0868869	0.281084	0.474549
XLOC_000042	TAS1R1	0	0	0	0	0.0837686	0	0.066103	0	0.0210678	0	0	0
XLOC_000043	ZBTB48	7.07166	8.78947	7.92981	6.46435	3.68812	6.61762	4.53008	5.59713	4.64147	3.28263	8.1502	5.96861
XLOC_000044	PHF13	5.14269	2.6884	6.50925	3.98315	4.11103	5.18686	7.42118	5.16035	9.56366	5.95016	3.94004	3.90739
XLOC_000045	THAP3	9.6453	5.88985	9.82986	11.5894	8.99828	21.8735	8.20893	4.56784	10.5944	4.49169	9.95939	7.28383
XLOC_000046	CAMTA1	21.2512	23.7675	36.1632	15.0146	40.7416	38.7692	33.1195	21.8669	34.3072	26.2741	53.4511	28.6569
XLOC_000047	VAMP3	23.5448	17.5533	36.3375	32.2449	31.2706	32.5729	14.7649	23.0335	29.7211	26.1872	21.5196	29.1877
XLOC_000048	PER3	2.73741	0.284748	0.58442	1.41702	0.308921	0.110421	0.163203	0.115531	0.40323	0.19303	0.281228	0.317013
XLOC_000049	PARK7	80.7376	56.687	67.4988	45.4778	58.298	47.4071	54.5147	68.6568	52.1195	40.8114	17.7329	125.496
XLOC_000050	SLC45A1	0.37424	0	0	0	0	0	0	0	0.0175918	0	0	0
XLOC_000051	CA6	1.33795	0.206062	0.779128	0	0	4.78489	0.711761	0	0.408061	0	0.232688	0
XLOC_000052	H6PD	19.5953	19.8487	13.7949	24.9342	17.4489	30.2529	16.5068	50.1484	19.0771	20.0115	60.6828	14.0766
XLOC_000053	SPSB1	6.63293	8.98242	6.23824	8.28333	3.43331	3.80014	1.29503	7.93092	2.10398	9.58828	6.22355	2.92324
XLOC_000054	SLC25A33	1.78022	1.57747	2.02366	2.29856	2.24333	14.7459	0.763439	1.87149	5.65627	1.2199	4.72218	6.6583
XLOC_000055	TMEM201	7.32329	6.77825	14.7161	13.2541	13.6416	24.1838	16.0015	29.8782	39.0935	9.87919	16.1898	9.58928
XLOC_000056	PIK3CD	20.2791	22.1646	31.3096	17.3624	11.2496	18.7006	15.758	9.21848	25.4773	9.54178	28.752	14.7965
XLOC_000057	NMNAT1	2.38817	2.26895	2.32403	1.78141	0.387652	1.1639	1.70449	1.93406	0.36948	0.646663	1.6738	1.14827
XLOC_000058	RBP7	3.50717	0.0734028	6.06693	0	0	0.628092	0	0	0.405223	0	0	0
XLOC_000059	UBE4B	16.6656	19.5665	17.9986	20.2193	22.1253	25.1874	16.8129	17.3092	23.8384	18.0029	34.932	19.1677
XLOC_000060	KIF1B	4.82161	5.13719	2.55997	2.92496	2.22943	2.60156	1.95555	4.37683	3.43477	9.09236	5.27027	2.21591
XLOC_000061	PGD	50.1343	30.489	67.0853	42.5027	62.157	37.9892	37.0099	48.6415	49.4477	34.0918	29.8645	84.1393
XLOC_000062	"APITD1,APITD1-CORT,CORT"	8.78539	7.40372	4.96319	5.4275	6.39125	3.82842	7.91068	10.2073	8.86486	3.99987	3.40109	9.42652
XLOC_000063	PEX14	9.55017	8.73363	7.73405	11.1972	6.80174	7.69029	4.41854	9.08162	11.1094	7.58686	7.2431	7.04999
XLOC_000064	TARDBP	24.4655	21.6879	35.6677	40.5204	54.0145	52.0863	74.5488	46.7167	77.898	46.4881	90.915	46.0879
XLOC_000065	ANGPTL7	0	0.0168673	0	0	0	0	0	0.14168	0	0	0	0
XLOC_000066	UBIAD1	8.70097	9.38584	5.59736	4.81311	9.15292	4.49783	5.65329	7.16046	11.2182	3.43576	4.71733	6.6262
XLOC_000067	PTCHD2	0.0823222	0.205748	4.38408	0.347007	0.0616081	3.53202	1.80573	1.52091	2.10037	1.90618	0.261767	0.213323
XLOC_000068	FBXO44	3.19712	3.69211	12.1644	13.1449	5.47234	13.2903	0	2.38556	2.39798	1.29413	6.75772	4.10181
XLOC_000069	FBXO6	4.89298	1.01059	3.18522	1.93383	0.680697	0.984419	0.0893327	0.437624	2.16358	1.06943	0.690163	2.37673
XLOC_000070	DRAXIN	0.0697103	0.0668935	0.515221	11.4258	0.097467	1.02482	0	0.876823	1.24887	0.979005	0	0.473482
XLOC_000071	AGTRAP	11.841	8.57974	28.0812	13.847	2.91564	4.20083	2.18991	10.3203	9.53661	4.91091	3.11838	14.1422
XLOC_000072	CLCN6	3.73432	7.00478	12.0422	10.9986	16.8748	18.3093	11.0654	7.44104	13.7913	11.6082	25.515	4.80798
XLOC_000073	PLOD1	3.83431	0.262561	4.46138	1.60456	1.00668	0.803222	0.430315	0.628524	2.33185	0.340649	1.05761	4.62846
XLOC_000074	MFN2	20.4818	19.2475	14.2063	13.9567	23.3713	24.6031	17.0148	17.2593	31.1255	16.3368	22.0297	26.3927
XLOC_000075	MIIP	6.5244	7.60475	12.2673	14.606	9.09913	13.2669	8.75988	10.8316	20.1682	5.29077	15.7247	19.1273
XLOC_000076	TNFRSF8	0.37253	0.334257	1.16667	0.665433	0.272516	0.0557987	0.24508	1.24871	0.882215	0.284168	0	0.139694
XLOC_000077	TNFRSF1B	18.753	7.4923	31.8514	21.1944	18.3289	6.02445	1.47509	7.03193	44.2794	17.2973	7.81488	11.1935
XLOC_000078	VPS13D	15.9162	20.7249	15.1447	20.2183	20.5701	21.7718	20.8616	17.4941	24.1191	21.9853	27.9879	15.3292
XLOC_000079	AADACL4	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000080	AADACL3	0	0	0	0	0	0	0	0.02724	0	0.0265639	0	0
XLOC_000081	C1orf158	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000082	PRAMEF12	0	0	0	0	0	0	0	0.1873	0	0	0	0
XLOC_000083	PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000084	PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000085	PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000086	PRAMEF22	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000087	PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000088	PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000089	PRAMEF16	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000090	"PRAMEF20,PRAMEF21"	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000091	PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000092	PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000093	"PRAMEF20,PRAMEF21"	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000094	PDPN	4.3751	0.0726154	0	0	0	0	0	0.0812158	0.0318701	0	0.153747	0
XLOC_000095	PRDM2	16.8535	17.8408	19.429	26.8726	20.1549	52.1567	10.9059	21.692	32.7782	26.6777	71.5607	14.7001
XLOC_000096	KAZN	1.06999	0.301303	8.36139	0.388246	0.578924	10.1461	10.1244	22.4279	4.8914	27.7029	9.73868	0.261965
XLOC_000097	TMEM51	1.18021	0.164152	0.983714	0.395088	0.403322	0	0	0.115144	0.630896	0.787343	0.941026	0.114609
XLOC_000098	FHAD1	0	0	0.0256126	0	0	0	0	0	0.135579	0.0789676	0	0
XLOC_000099	EFHD2	29.5116	22.6907	66.9659	35.1029	28.0699	52.3628	18.834	21.9811	54.2201	19.1095	44.0503	23.4047
XLOC_000100	CTRC	0	0.0489286	0.442276	0.138152	0.216436	0	0.169166	0	0.377188	0	1.32036	0
XLOC_000101	CELA2A	0	0	0.0859123	0	0	0	0	0	0	0	0	0
XLOC_000102	CELA2B	0	0	0	0	0	0	0.491287	0	0	0	0	0
XLOC_000103	DNAJC16	7.31428	6.22952	5.86542	6.02773	4.45888	3.18953	3.52601	4.06148	2.38701	4.54007	6.14198	3.78709
XLOC_000104	"DDI2,RSC1A1"	18.3486	20.1022	24.6445	16.7092	17.9343	19.2696	16.9991	20.9225	21.4097	16.4096	22.0911	34.6239
XLOC_000105	PLEKHM2	17.4269	14.6762	19.3578	18.6807	24.7275	29.2948	16.2588	13.4501	43.8274	15.4278	23.3133	14.2328
XLOC_000106	SLC25A34	0.0670292	0.764766	1.30722	0.942922	1.6104	0.891332	0.424525	0.447792	0.987853	0.571254	0.71727	1.10026
XLOC_000107	TMEM82	0	0	0.291764	0	0	0	0	0	0	0	0	0
XLOC_000108	FBLIM1	0.357914	0.0822547	0.0242344	0.378533	0.328452	0.624342	4.43441	0	0.0451255	0.296058	0.14093	0
XLOC_000109	SPEN	23.8306	27.8108	36.5516	30.5513	35.1025	44.0176	63.1675	40.5461	57.362	33.7972	62.484	27.8654
XLOC_000110	C1orf64	0	0	0	0	0.104992	0	0	0	0.0523036	0	0	0
XLOC_000111	CLCNKA	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000112	CLCNKB	0.135862	0	0	0.048954	0	0	0	0	0	0	0	0
XLOC_000113	SZRD1	25.5282	29.2401	47.1061	51.466	48.0545	90.5095	34.5034	46.3614	78.1222	43.2956	69.8855	36.5122
XLOC_000114	NECAP2	41.7775	43.6862	30.1762	24.814	21.3925	15.7908	15.856	27.1118	25.3198	20.7643	15.9829	31.5947
XLOC_000115	-	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000116	CROCC	2.87392	6.82037	4.41577	6.8126	2.93287	2.80142	5.02843	3.39202	3.65989	3.03655	5.1435	1.47426
XLOC_000117	PADI1	0.082944	0	0	0	0	0	0	0	0	0	0	0
XLOC_000118	PADI3	0	0	0	0	0	0	0.0407917	0	0.013003	0	0	0
XLOC_000119	PADI4	3.37636	2.03113	15.3001	0.280792	0.446609	2.2491	0	0.764722	1.38634	1.44641	0.542811	3.79137
XLOC_000120	PADI6	0.421976	0	0	0	0	0	0	0	0.054085	0	0	0
XLOC_000121	ARHGEF10L	1.49012	0.157434	1.71093	0.333216	0.494034	0.116615	0.030086	0.170612	0.517951	0.0475274	0	0.652836
XLOC_000122	ACTL8	0.34669	0	0	0	0	0	0	0	0	0	0	0
XLOC_000123	IGSF21	2.076	0.100759	0	0	0	0	0	0	0	0	0	0
XLOC_000124	KLHDC7A	0	0	0	0	0.0158981	0	0	0.0203889	0	0.0993792	0.0772017	0
XLOC_000125	PAX7	0	0.0365343	0	0	0.0264012	0	0	0.0169265	0	0.0494928	0	0
XLOC_000126	MRTO4	4.35652	5.9342	11.7172	7.64538	5.15342	3.33775	4.85997	11.2364	6.6067	3.02114	3.24438	16.9486
XLOC_000127	PQLC2	3.57565	2.00036	3.58215	1.86433	2.13975	2.42991	0.93358	0.659315	1.62571	1.94582	1.21788	1.63233
XLOC_000128	"C1orf151-NBL1,MINOS1,NBL1"	8.62081	3.76337	2.62515	2.34763	2.92132	1.89111	0.837023	2.45014	6.22922	2.96605	1.46302	2.92017
XLOC_000129	HTR6	0	0	0	0	0.0967079	0	0	0	0.0365838	0	0	0.13631
XLOC_000130	OTUD3	2.24091	6.70781	6.71779	8.64983	11.8967	10.303	12.4936	5.8378	11.7326	12.7708	9.50769	6.32435
XLOC_000131	PLA2G5	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000132	PLA2G2F	0.370779	0.0280632	0	0	0	0	0	0	0	0	0	0
XLOC_000133	UBXN10	0.0396523	0.357446	0.112772	1.56897	0.583445	0.991239	0.263629	0.142632	0.308125	1.21759	0	6.6194
XLOC_000134	VWA5B1	0.0321746	0.00831186	0	0.0452202	0	0	0	0	0	2.05454	0.394562	0
XLOC_000135	FAM43B	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000136	CDA	0.251341	0.271325	9.46072	2.03587	2.09687	0.125189	0.937648	0.128744	6.42181	0.504845	1.46126	1.06708
XLOC_000137	PINK1	9.6585	6.9664	4.16606	3.5358	3.31595	4.12175	3.36242	2.20871	3.56205	4.34985	2.35655	3.89358
XLOC_000138	NBPF3	0.912598	0.118437	4.16488	0.945475	0.874996	1.41909	4.16194	4.30003	1.93191	4.91516	3.2653	1.35668
XLOC_000139	ALPL	1.57055	0.033337	0.059047	0.0456876	0	0	0	0	0.0970719	0.273349	0	0.0986799
XLOC_000140	LDLRAD2	0	0.0838152	0.0985074	0.152134	0.040474	0	0	0	0.0612811	0.050629	0	0
XLOC_000141	CELA3B	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000142	CELA3A	0	0.0483995	0	0	0	0	0	0	0	0	0	0
XLOC_000143	CDC42	118.251	97.6535	149.74	168.654	166.072	283.043	202.874	184.595	132.125	136.73	297.444	192.507
XLOC_000144	ZBTB40	7.64482	16.7432	11.989	12.9018	10.0885	19.7562	12.993	10.6602	12.0876	18.5225	31.7319	13.1346
XLOC_000145	EPHA8	0	0	0	0	0	0	0	0	0.189571	0.174717	0.225687	0
XLOC_000146	C1QA	56.5772	4.0776	6.42438	0.860508	1.10088	0.740229	0	0.218162	2.07355	0.320478	0.619134	1.7694
XLOC_000147	C1QC	69.5387	6.51145	1.09031	0.0997636	0.157302	0.196128	0	0.607739	0.590171	0.0991278	0	1.20334
XLOC_000148	C1QB	62.8432	3.67533	2.79091	0.343318	0.899938	0.33761	0	0.579807	1.61765	0	0	1.10015
XLOC_000149	EPHB2	1.4444	0.0533245	0.536617	0	0.0496238	0.0202909	0	0	0.125296	0.0413632	0	0.0169686
XLOC_000150	KDM1A	62.2667	60.7814	41.9944	55.6382	58.3845	95.4178	85.6092	52.8222	37.4497	59.0953	66.869	75.4304
XLOC_000151	RPL11	845.956	1012.73	748.724	1073.49	1478.29	1646.03	1102.49	619.442	922.51	1066.67	763.126	2017.11
XLOC_000152	TCEB3	14.6189	13.6302	12.7139	12.6149	13.9347	12.8392	20.5528	15.4704	15.2827	8.85349	9.84201	13.076
XLOC_000153	PITHD1	77.9539	23.6277	31.0614	27.1115	37.5853	53.6255	44.5391	24.7132	29.0907	22.7992	31.3114	57.6855
XLOC_000154	LYPLA2	15.315	18.188	18.2871	17.574	19.3043	24.9767	10.5052	16.3834	26.7017	12.566	22.3715	15.5833
XLOC_000155	PNRC2	45.8366	46.7255	39.6661	37.5393	42.4424	73.4137	67.5474	40.2257	25.6926	39.8284	44.7401	53.245
XLOC_000156	GRHL3	0.604332	0	0	0	0	0	0.0467423	0.0395132	0	0	0	0
XLOC_000157	NIPAL3	10.5054	10.111	10.103	4.66105	2.98541	4.6209	4.07459	4.96558	6.2858	5.80093	7.5711	6.28533
XLOC_000158	RCAN3	16.6236	13.7777	16.9327	5.07069	4.91361	19.9318	7.46443	3.9721	15.8903	17.2012	10.0088	7.20145
XLOC_000159	NCMAP	0	0.0655647	0	0	0	0.0249925	0	0.0522214	0.0616341	0.687452	0	0
XLOC_000160	SRRM1	40.9057	53.5643	82.9112	82.1081	87.2585	90.8161	106.385	113.08	102.198	54.6565	139.473	56.2309
XLOC_000161	CLIC4	18.3933	6.00848	16.8999	12.3733	21.7096	39.3038	19.2544	14.7063	3.11044	36.017	24.5662	7.63732
XLOC_000162	RHD	0	0.0150259	0.718135	0.041135	0	0.0403363	0	0.666682	0.0659801	1.48826	1.13671	3.13083
XLOC_000163	TMEM50A	32.8322	34.9538	31.6388	29.792	44.1737	66.0131	39.2169	36.487	51.3428	46.9401	49.4205	46.3147
XLOC_000164	TMEM57	20.8904	17.3898	10.9194	18.7579	30.5538	49.8312	44.4592	15.6691	30.233	40.6224	60.166	23.9071
XLOC_000165	LDLRAP1	5.31473	4.59248	3.15445	5.86604	2.30884	1.07395	0.534317	1.51781	1.43351	1.83339	1.91548	6.57832
XLOC_000166	MAN1C1	10.4502	7.51807	0.812732	0.515298	0.7189	0.157849	0	0.922543	0.491993	0.899912	1.06033	1.67104
XLOC_000167	SEPN1	10.7157	6.14691	7.9292	8.50401	10.0726	7.33982	8.42847	11.3469	4.26717	1.29316	0.929934	11.566
XLOC_000168	MTFR1L	12.6827	17.3317	13.9969	10.4078	10.8678	15.5012	11.0733	12.8517	8.99692	10.6173	13.4677	13.0148
XLOC_000169	EXTL1	0.0360547	0.102388	0	0.10137	0.0404528	0	0.0320226	0.103788	0.0612492	0.0253013	0	0
XLOC_000170	PDIK1L	8.32849	7.16926	7.92014	9.19067	15.4295	21.0144	23.9479	11.4445	15.112	11.7874	12.9824	7.95768
XLOC_000171	FAM110D	0	0.0263899	0	0	0	0	0	0.0743021	0.0289941	0.0726348	0	0.442829
XLOC_000172	ZNF593	6.98581	6.09398	14.6142	17.6239	4.98791	25.8857	6.44395	25.4041	7.13937	17.1722	4.88393	13.1173
XLOC_000173	CNKSR1	0.340936	0.287197	0.347688	0.91017	0.230518	1.21705	0.780609	0.676464	0.331753	0.371356	1.20046	0.118053
XLOC_000174	CATSPER4	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_000175	CEP85	10.8406	17.0993	12.7652	17.5061	13.472	31.5725	16.3843	25.2251	18.7661	11.5165	15.6851	18.3711
XLOC_000176	SH3BGRL3	118.652	113.485	214.281	134.07	117.391	203.193	35.2165	119.181	167.427	73.2945	91.7764	31.5695
XLOC_000177	CD52	522.352	780.762	207.198	192.037	119.522	74.8068	36.5279	124.836	98.1553	110.53	42.549	123.814
XLOC_000178	LIN28A	0	0	0.0656372	0	0	0	0.0640452	0	0.0102082	0.0253013	0	0.0311126
XLOC_000179	DHDDS	6.66445	7.56658	8.7995	8.83708	10.0379	10.2406	7.80388	6.68639	8.28717	7.34123	10.898	5.19492
XLOC_000180	HMGN2	78.6935	70.8049	45.3182	46.9783	40.4787	36.6041	33.4073	53.6201	31.5057	25.149	32.0711	34.094
XLOC_000181	RPS6KA1	21.1291	13.8935	24.3746	15.2095	12.0635	10.3009	8.08806	11.5071	20.7849	12.5523	11.14	14.5174
XLOC_000182	ARID1A	67.2147	74.6334	49.3506	56.9855	65.1942	87.6688	75.6531	57.1623	86.8814	52.946	114.205	36.691
XLOC_000183	PIGV	7.90984	5.26103	6.14101	4.54247	3.26235	4.53936	5.62704	7.50214	3.25052	5.33505	6.02136	5.45436
XLOC_000184	ZDHHC18	5.75114	9.67498	14.4899	17.7581	19.7388	20.8892	8.79065	11.2695	30.4931	12.7655	17.1305	11.0285
XLOC_000185	SFN	10.9652	0.155976	3.06682	0.519865	0.684501	1.10645	0.645695	0.70464	0.342908	0.258495	1.33337	0.104811
XLOC_000186	NUDC	19.3774	20.7986	20.449	17.9719	14.4039	21.3393	20.6901	23.2748	21.7888	11.0402	15.1462	30.0975
XLOC_000187	TRNP1	0.266603	0.060286	0.285344	0.221001	0.13163	0	0	0	0.308893	0	0	0.022447
XLOC_000188	WDTC1	29.9616	26.8863	18.7072	22.8308	12.0588	25.9787	15.1005	16.5277	11.2086	11.4597	17.8571	13.5197
XLOC_000189	TMEM222	12.5939	21.6795	11.763	19.7482	22.9047	27.7026	3.7535	11.4861	29.9316	12.3142	15.2824	14.5846
XLOC_000190	SYTL1	21.3103	18.4931	24.6227	47.0695	22.7723	42.2496	23.6574	17.0847	14.2141	24.4282	34.9784	14.6299
XLOC_000191	GPR3	0	0.0735687	0.521758	1.26223	0.321022	0.0495268	0.506777	1.80397	0.0403804	0	0	0.554478
XLOC_000192	FAM76A	6.19107	8.14434	8.99008	9.32518	8.18111	9.90879	8.0289	9.52284	10.7337	5.78467	6.93868	6.04743
XLOC_000193	STX12	11.3022	8.71844	11.446	7.85551	15.8667	24.8792	28.1435	9.30568	14.9473	16.1797	37.247	10.1596
XLOC_000194	PPP1R8	31.1397	29.0674	17.7485	18.1301	29.3617	18.4749	17.3162	25.5007	28.6876	12.6817	8.63693	22.3907
XLOC_000195	THEMIS2	14.3087	14.0207	28.7636	14.5729	16.0601	2.88553	0.910295	2.07891	34.1398	24.0394	4.11298	27.9686
XLOC_000196	SMPDL3B	0	0.185727	0	0.057759	0.0549138	0	0	0.0706013	0.178162	0.40282	0	1.33676
XLOC_000197	XKR8	4.09266	4.65829	6.59937	8.78521	8.43525	3.67932	1.17693	1.56212	7.6011	2.31237	2.00298	4.79922
XLOC_000198	ATPIF1	56.4447	88.2073	42.2183	62.0075	56.9663	64.0616	91.1052	100.629	55.8062	36.4035	37.9195	161.116
XLOC_000199	SESN2	2.92448	3.02573	5.03789	3.36892	2.33968	6.86009	3.33601	1.42667	8.58924	2.34806	1.46295	1.86427
XLOC_000200	MED18	15.0009	5.30211	4.37201	1.91864	1.65451	1.07939	3.5233	1.95713	1.52482	1.0383	0.693706	2.04514
XLOC_000201	PHACTR4	15.0106	14.8474	15.5812	15.9792	35.1278	36.988	30.4003	18.036	37.7234	19.9626	40.7203	11.3952
XLOC_000202	RCC1	24.798	29.8569	32.3941	33.9962	39.8022	27.7059	35.512	38.8243	27.1132	18.6468	16.6575	47.0049
XLOC_000203	TRNAU1AP	10.018	9.28956	4.90091	4.40548	5.56761	2.67328	3.33851	5.85328	3.3308	2.54108	2.12615	7.76661
XLOC_000204	RAB42	6.55684	0.111222	0.0665167	0	0	0	0	0.105042	0.0430017	0	0	0.0438575
XLOC_000205	GMEB1	19.2573	15.3842	9.73825	9.93677	10.9517	12.9832	16.2684	10.324	12.8905	9.98405	17.4262	8.88917
XLOC_000206	YTHDF2	36.8646	40.0588	55.8632	64.8595	54.2153	66.1169	78.8954	53.3372	49.035	30.3228	54.5999	65.819
XLOC_000207	OPRD1	0	0	0	0	0	0	0	0	0.0489449	0	0	0
XLOC_000208	EPB41	94.8944	98.2252	40.4791	56.8327	51.4801	43.6397	46.2768	44.2386	47.5397	45.8946	40.4504	73.0503
XLOC_000209	PTPRU	0.792374	1.20986	24.5002	0.12564	0.172099	0.0879618	16.5728	0.147149	10.1598	1.43464	0.243803	0.036763
XLOC_000210	ZCCHC17	11.1254	13.2094	9.96764	5.39016	4.92089	6.56917	5.97597	10.554	4.87286	7.78965	6.09858	14.0851
XLOC_000211	SERINC2	7.73113	14.8165	2.87864	0.913152	0.725465	0.948554	3.97268	0.21925	5.06459	7.86903	1.45411	1.28805
XLOC_000212	TINAGL1	2.06323	3.71324	0.606538	0.410361	0.0466203	0	0	0.406007	3.41492	3.4517	0.566937	0.333833
XLOC_000213	HCRTR1	0	0	0.0692882	0	0	0	0	0	0.107184	0	0	0
XLOC_000214	KHDRBS1	82.2761	64.8057	76.7697	102.401	129.302	148.281	184.602	121.455	118.811	93.2722	113.184	97.9282
XLOC_000215	TMEM39B	14.8442	14.1853	11.0602	12.4221	17.4403	9.66965	10.762	15.2862	16.0538	6.06832	9.79753	7.36815
